Date,Open,High,Low,Close,Volume
2012-01-01,4.58,4.60,4.55,4.59,0.0
2012-01-02,4.59,4.62,4.57,4.60,12.5
2012-01-03,4.60,4.65,4.58,4.63,18.2
2012-01-04,4.63,4.70,4.61,4.68,25.4
2012-01-05,4.68,4.75,4.66,4.72,31.8
2012-01-06,4.72,4.80,4.70,4.78,40.1
2012-01-07,4.78,4.85,4.76,4.82,53.0
2012-01-08,4.82,4.90,4.80,4.88,61.7
2012-01-09,4.88,4.95,4.86,4.92,70.9
2012-01-10,4.92,5.00,4.90,4.98,85.3
2012-01-11,4.98,5.10,4.95,5.05,102.8
2012-01-12,5.05,5.18,5.00,5.12,130.6
2012-01-13,5.12,5.25,5.08,5.20,165.4
2012-01-14,5.20,5.35,5.18,5.30,210.2
2012-01-15,5.30,5.50,5.25,5.45,280.9
